name,email,age
Dan Altenwerth Jr.,Molly59@gmail.com,67
Glenda Wisozk,Miriam21@gmail.com,119
Daniel Fahey IV,Delia.Lesch11@hotmail.com,49
Ronnie Bechtelar,Sandra19@yahoo.com,22
Alma Bechtelar,Shelly_Balistreri22@hotmail.com,102
Jonathon Jones,Jody.Quigley-Ziemann33@yahoo.com,116
Forrest Heaney,Albert51@hotmail.com,104
John Smith,john.smith@example.com,30
Jane Doe,jane.doe@example.com,25
Bob Wilson,bob.wilson@test.com,45
Alice Johnson,alice.johnson@demo.com,35
Charlie Brown,charlie.brown@sample.com,28
Diana Prince,diana.prince@hero.com,29
Bruce Wayne,bruce.wayne@gotham.com,35
Clark Kent,clark.kent@daily.com,32
Peter Parker,peter.parker@web.com,23
Tony Stark,tony.stark@stark.com,45
Steve Rogers,steve.rogers@shield.com,95
Natasha Romanoff,natasha.romanoff@spy.com,34
Thor Odinson,thor.odinson@asgard.com,1500
